Names,Realm
Longzhu Crash,KR
RNG Xiaohu OvO,KR
園田l海未,JP
rod1,LAS
Jin Air Blanc,KR
within my reach,BR
paiN KamiKat,BR
EDG 디프트,KR
Jiizukéé,EUW
FTS Humanoid,EUNE
ESG MagiFelix,EUW
Анёчек,RU
Arcsecond,NA
Caps Unchained,EUW
Saitoo,RU
k1ng234,OCE
palpisoonready,LAS
DW Phantiks,OCE
   boys dont cry,OCE
PARARA TINBUM,BR
her prince,RU
1brayle,LAN
effyloo fan,LAS
reformed virgin,NA
Hemisphere,JP
  twitter k1ngyb,OCE
LGDW Raydere,OCE
Sadastyczny,EUNE
emilia fan,LAS
Cody Sun,NA
KR PUREBOY,EUW
Eames,TR
CJ ENTUS 운타라,KR
Believing,TR
Clid,KR
Skewed,KR
Yuuki Ao1,KR
RingelKing,EUW
Realisthuman,TR
Hope Again,KR
Cris,NA
LGC ChuChuZ,OCE
fallenbandit,NA
FFT01SDSA5567,LAS
Aimi Kaneko,EUW
GF ClyDee,TR
박투신,KR
Iratrefen,LAN
Thief of Relics,LAN
해강고 원딜,KR
Sharishanya,EUNE
Jollyyy,EUW
FZ3R0,NA
Piggy Kitten,NA
Sorry,KR
dhn,NA
LF Swedish bae,EUW
AHaHaCiK,RU
Chippys,OCE
USG Aeonblast,JP
Rapisher,EUNE
2000 02 09,KR
Jin Air Winged,KR
Swedish Marksman,TR
현웅쀼,KR
NoXlAK,EUW
          tally1,OCE
V nukeduck,EUW
Loopi,BR
Rishi,KR
paiN TaeYeon,BR
Phantiks1,OCE
GimGoon,KR
x5 Cyk,OCE
Captain Alphari,EUW
kina,NA
YumiJürgen,EUW
C9 Sneaky,NA
Afreeca ikssu,KR
Warangelfus,LAS
l Leap,KR
Seliorz,RU
GangstahSwerve,NA
Huhi,NA
La Yozoh,KR
Cuzz,KR
BOOST 4 NUDES,NA
열심히좀해라,KR
Ezreal As I Get,BR
CİHAD BABA,TR
KDM SSol,KR
알파몽,KR
DH Tulz,LAS
C9 EonYoung,NA
GDM Fresco,LAS
Josh Dun,BR
r34d7h15F46haHAA,LAS
Mortuario,LAN
Pex a Poor,TR
ZouSenpai,JP
Fitsme,KR
SunfIower,BR
Buggax,LAS
ROX Peanut,KR
Fenomah,LAN
tinowns3,BR
Yamatos Death,RU
Tvenyon,EUW
오류동 깡패,KR
DW Sybol,OCE
쪼렙이다말로하자,KR
Yamaoka,RU
until eyes bleed,NA
Kizuro,EUNE
VFK Robo,BR
Jue VioIe Grace,NA
Ablazeolive,NA
땡푸트,KR
Tainted Omni,OCE
I am the problem,EUW
brtw amorzinho,BR
N0T Going,KR
GIA NighT,EUW
Tuesdayy,NA
4uk4a,RU
Nemesîsi,EUW
loulex,EUW
도레미파쏠,KR
UOL Vizicsacsi,EUW
Anivia Kid,NA
Nataa,EUNE
닉변한다데,KR
BanBazi,KR
Azzapp,EUNE
Contractz,NA
CNB HyperX Wos,BR
ioioioioioioioi,NA
다 죽어버리기,KR
A Famosa Annie1,BR
KT Score,NA
P1ut0,KR
fR S3cUR1Ty,TR
One Call Away,RU
Chaturbate,LAS
RAHULK,NA
EDG DEFT,KR
Top Ten Cut,OCE
KillerEs v2,TR
Sindivyn,OCE
춘봉박,KR
G2 Hodor,EUW
Ntz Leopard,NA
kyolols,BR
Son of Dokgo,KR
Feno,LAN
Eli Storm Strike,LAN
Quesito,LAN
a56,JP
Longzhu Fury,KR
MrRaIIeZ v3,EUW
HoldFartInHandxl,NA
Jin Air SoHwan,KR
앙 방관띠,KR
수적석천,KR
Wooliter,EUW
Yolo Que Warrior,EUNE
Akaadian4,NA
Huunntér,EUNE
성혁님미드가신다,KR
만기퇴소마시아앙,KR
Pobelter,NA
you even trying,BR
goldenglue,NA
TuTeddy,KR
Tainted Lost,OCE
VANESSA TRAVESSA,BR
Nuktal,TR
VengeanceLX,OCE
Hakuho,NA
Mementoooooooooo,EUW
IGUIN MANEIRIN,BR
Лелуш Британский,RU
Mad Daddy,TR
Frilla v3,TR
Ares XD,OCE
Morocccan,EUW
Minerva,BR
VCF PePii ToT,EUW
Chaser,KR
TnTeddy,KR
Memento v2,EUW
chenyboy,OCE
melty Nisqy,EUW
Brick,OCE
Snow LFT,TR
Odoamne,EUW
Boooooom,EUW
Yaharong,KR
Fenix AL,LAN
APX Cris,NA
14March,KR
Co24,KR
Support Wins,EUW
Bobjenkins,NA
블라디버프좀,KR
HAF Yato,LAS
Shok,OCE
몽땅콩,KR
MagiFelix,EUW
kGod1,LAS
VFK esinhA,BR
BunnySmasher,LAN
oyixA,KR
Mr Nomanz,RU
Gilius 1v9,EUW
Malicious Edge,TR
gunkrab,OCE
Kikis,EUW
Teddy Gammell,EUW
I1I11I11I,KR
kebab loves Y,TR
SIlde,KR
wforwish,OCE
TF Blade,NA
EnVy Ninja,NA
BILGI Evenstâr,TR
재하짱123,KR
Pioneer1993,LAN
Hoglet,KR
斗鱼TV丶斉小岳,JP
OmarGod,NA
Maxilol,EUW
VFK takeshi,BR
Reiuji Utsuho,KR
Jukes,BR
4LaN,BR
LGC ChuChuZs,OCE
삼성 CoreJJ,KR
Прячься за меня,RU
twenty and six,OCE
DP Blitzy,EUW
Grigne,NA
살기장인,KR
Karwox,EUW
Nikola Senpai,EUNE
천사푸린,KR
캐리욤,KR
Stixxay,NA
Kími,LAS
Richor,EUNE
KCG TwilighT,LAN
is dat her,LAN
stupid monk xD,BR
goldengluee,NA
FNC Sp1rit,EUW
nisaS,KR
S04 Baker,EUW
Jebsu v2,EUNE
EDG Chieftain,KR
Tartaruga Véia,BR
RNG 맛탕,KR
JAO DA MAIONESE,BR
EdìnPriqtel,EUNE
d a s s l e r,LAS
ASUS Lvsyan,EUW
Crisps,LAN
ナポです,JP
ByFalco,LAN
FNC DoubIeG,EUW
Detiny,KR
AE Looch,OCE
트와이스 원스,KR
Archour,NA
Piccolina,JP
고돌갓,KR
The Fallen Angel,EUNE
Lil TM8,NA
DJ ESCO,OCE
Kier,BR
TrueMortal,RU
원딜 LinE,KR
korean elise,JP
허리운동은틈틈히,KR
Probe,JP
BJ뽀오,KR
뽀오뽀오,KR
cR0xxy,EUNE
GirlInRealLife,EUW
나라카일,KR
Godbro senpai,EUW
나츠카린,KR
TSM SlGHTSTONE,NA
EDG Snoopyy,KR
CrySmiley,EUW
Deadly Vengeance,EUNE
TomnaM,LAS
성남동에이스,KR
Rytik,RU
수기슈기슈기,KR
BoxerPete,NA
ANEKTARCI,TR
Paweł Pruski,EUW
windking8,NA
youareverysmart,EUW
tiripS,EUW
Shiphtur,NA
Hades147,EUNE
Zantins,BR
advanze K,LAS
Flaxxish,EUW
WildCards,EUNE
cute girI,BR
OKG Wise Titan,BR
rod9,BR
Rlris,KR
Protoss Azir,RU
JayJ,NA
좋은날,KR
ESG Obv,EUW
Its Me FraGioRlz,LAS
ShaQuinnOGallade,BR
その心笑ってるね,JP
KDM Crush,KR
Wana,KR
Noxiak v2,EUW
Nyctophiliâ,TR
MC DYNQUEDO,BR
Alphari,EUW
Afreeca LirA,KR
H2K Jankos,EUW
adriano IMPERA,BR
Wiggily,NA
GE kurO,EUNE
Braxa,TR
고여비,KR
iBreak,LAS
KlREI,EUW
Asesinol,LAN
baltica qq,LAS
DENK,BR
Vó Terezinha,BR
ROX Kuro,KR
Subarù Natsuki,EUW
FİŞEKSİN HA,TR
desteğebildir139,TR
만기퇴소마시으앙,KR
Naeun,NA
ZeícrO,LAS
Сенатор,RU
Arphan v2,EUW
Ololopiwpiw381,RU
SKT T1 Bang,KR
PYN Rakyl,LAS
x5 Siuman,OCE
KIYF TynX,EUW
LK God,LAS
Silas Kroeger,NA
FNC Rekkles,EUW
VN WONDERBOY,OCE
윤상e,KR
Xuran flakes,LAN
iG RoooooKiE,KR
Sudzzi,NA
K1CK zZzicooo,EUW
EDG 스카웃,KR
QQ5,EUW
Fâne,TR
요리봐도오징어,KR
Raimind,LAS
holgate,NA
GOKU CAMISA 10,BR
gordim ice tea,BR
Katarko,RU
Meowbin IV,EUW
Faker Dog v2,EUNE
hachamecha,JP
DeliciousMilkGG,NA
Bernoulli,LAS
Zahe,OCE
삼성갤럭시 cuvee,KR
EnVy kina,NA
Its me BoxBox,OCE
Pornstar Zîlean,EUW
Stitch 삼성,KR
